"지역별","상품군별","판매유형별","항목","단위","2014.1/4","2014.2/4","2014.3/4","2014.4/4","2015.1/4","2015.2/4","2015.3/4","2015.4/4","2016.1/4","2016.2/4","2016.3/4","2016.4/4","2017.1/4","2017.2/4","2017.3/4","2017.4/4","2018.1/4","2018.2/4","2018.3/4","2018.4/4","2019.1/4","2019.2/4","2019.3/4","2019.4/4","2020.1/4","2020.2/4","2020.3/4","2020.4/4","2021.1/4","2021.2/4","2021.3/4","2021.4/4","2022.1/4","2022.2/4","2022.3/4","2022.4/4","2023.1/4","2023.2/4","2023.3/4","2023.4/4","2024.1/4","2024.2/4",
"합계","합계","계","해외직접판매액[백만원]","백만원","148272","153641","163999","213216","269101","271784","268421","450568","511395","494391","560853","726741","839944","581349","755101","858240","833672","897205","921586","974060","1251122","1345723","1526135","1881628","1531212","1290332","1656729","1525174","1208052","1224244","1042774","932840","575319","505011","421606","353963","291336","481202","452744","471927","415256","448904",
"합계","합계","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","673803","441213","610630","677884","665613","725319","761836","770656","1070693","1157158","1336372","1655635","1297490","1051987","1410967","1247495","972384","974415","795824","681168","363520","300602","211727","152997","111187","281235","271525","280391","239885","257535",
"합계","합계","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","166141","140136","144471","180356","168059","171886","159750","203404","180429","188565","189763","225993","233722","238345","245762","277679","235668","249829","246950","251672","211799","204409","209879","200966","180149","199967","181219","191536","175371","191369",
"합계","컴퓨터 및 주변기기","계","해외직접판매액[백만원]","백만원","4915","4052","3912","3529","2903","2697","3804","4048","4211","3693","3160","3270","2645","2072","2032","2158","5236","3854","4320","4511","3702","4038","3670","3827","4142","3814","7722","3589","4274","4622","3805","3174","2943","3288","2944","3195","4044","3205","4260","3769","15307","21489",
"합계","컴퓨터 및 주변기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","5","3","5","1","2","6","1","215","2","0","1","70","113","0","3497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"합계","컴퓨터 및 주변기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","2640","2069","2027","2157","5234","3848","4319","4296","3700","4038","3669","3757","4029","3814","4225","3589","4274","4622","3805","3174","2943","3288","2944","3195","4044","3205","4260","3769","15307","21489",
"합계","가전·전자·통신기기","계","해외직접판매액[백만원]","백만원","13259","13824","13560","14200","13399","13587","12857","17621","16916","16176","15681","17845","18951","16020","19322","21696","25635","28160","27358","18073","21429","22798","25419","24180","12866","14052","14965","13136","10929","17682","13503","9246","48922","5594","6059","5258","5223","8717","6149","6788","6080","7456",
"합계","가전·전자·통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","8948","6282","9006","12680","18038","21188","20481","11104","14072","15843","17370","15478","4999","5108","4777","5538","4171","10737","6695","4933","45424","2195","1316","781","334","1949","1569","2032","2673","2292",
"합계","가전·전자·통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","10003","9738","10316","9016","7597","6972","6877","6969","7357","6955","8049","8702","7867","8944","10188","7598","6758","6945","6808","4313","3498","3399","4743","4477","4889","6768","4580","4756","3407","5164",
"합계","가전·전자","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","4004","5150","5508","6316","5263","7108",
